circ_id	SRR1297303	SRR1297304	SRR1297305	SRR1297306	SRR1297307	SRR1297308	SRR1297309	SRR1297310	SRR1297311	SRR1297312	SRR1297313	SRR1297314	SRR1297315	SRR1297316	SRR1297317
10:100923974-100926019	2	0	2	8	2	2	3	3	3	2	3	5	7	3	1
10:100923974-100931078	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0
10:100937401-100938736	3	2	0	0	2	0	2	0	0	0	0	2	1	0	0
10:100937401-100944128	1	3	1	1	0	0	1	1	1	1	1	0	1	1	0
10:101624744-101676436	1	1	0	2	1	4	0	0	3	1	0	0	0	2	0
10:101667885-101676436	1	4	1	9	3	6	3	2	2	6	6	3	4	0	1
10:101672914-101673673	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
10:101672914-101676436	2	2	2	2	2	1	3	0	1	0	0	1	4	4	4
10:101792838-101810314	7	4	1	2	0	0	1	3	2	1	4	1	4	0	0
10:101792838-101813606	0	0	0	0	2	0	1	1	0	1	0	0	0	1	1
10:101797979-101807901	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
10:101797979-101810314	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0
10:101797979-101813606	0	0	1	0	0	1	0	1	0	0	1	0	0	2	0
10:101798841-101810314	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
10:101813029-101813606	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:101889411-101957732	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0
10:101939862-101957732	2	0	4	0	0	0	0	1	1	1	1	1	1	0	0
10:101939862-102040125	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
10:102023476-102025248	2	0	0	1	0	0	0	2	0	0	0	1	0	0	0
10:102023476-102029745	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1
10:102157018-102158214	0	0	1	1	0	1	0	0	2	1	0	0	2	1	1
10:102379520-102380362	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
10:102685815-102705489	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
10:102872447-102874661	0	1	1	0	1	0	0	1	2	0	0	0	0	0	0
10:103091563-103095980	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0
10:103347237-103347450	1	0	0	0	0	0	0	2	2	0	1	1	0	0	2
10:103347237-103348999	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1
10:103438014-103438808	2	0	2	2	0	2	3	3	4	2	2	1	3	2	0
10:103439745-103440850	0	1	2	1	0	1	0	1	2	1	3	0	1	0	0
10:103611580-103613190	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
10:103622469-103661114	6	5	8	8	0	2	8	1	6	4	3	0	9	1	2
10:104008176-104018908	0	1	7	9	3	1	1	3	7	8	8	4	4	3	3
10:104018159-104018908	1	1	1	0	1	0	0	0	1	2	0	1	1	0	1
10:104131330-104164300	0	0	0	0	0	0	0	0	1	0	7	2	0	0	0
10:104140841-104143639	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
10:104140841-104164300	0	1	0	1	0	0	0	0	0	1	4	1	0	0	1
10:104168743-104172535	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
10:104358340-104380220	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1056347-1072293	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1
10:1080010-1080476	0	1	0	0	0	0	1	2	1	0	2	0	1	0	0
10:1084402-1086357	0	1	0	1	2	0	0	0	0	0	0	2	0	0	0
10:110100624-110112915	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
10:110122109-110126503	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
